TABELA DE PREÇOS 03/03/2026;;;;;;;;
ABRIDORES E CHAVEIROS;;;;;;;;
Código;Categoria;Descrição do Serviço;Cores;Peso;Qtde;Tam;Prazo;Preço R$
GIFT1276;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;700;50;43 x 7;2;R$ 89,50
GIFT1277;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;420;30;43 x 7;2;R$ 55,50
GIFT1278;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;140;10;43 x 7;2;R$ 20,50
GIFT1271;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;1400;100;43 x 7;2;R$ 173,50
GIFT1272;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;700;50;43 x 7;2;R$ 89,50
GIFT1273;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;420;30;43 x 7;2;R$ 55,50
GIFT1274;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;140;10;43 x 7;2;R$ 20,50
GIFT1267;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;1400;100;43 x 7;2;R$ 173,50
GIFT1268;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;700;50;43 x 7;2;R$ 89,50
GIFT1269;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;420;30;43 x 7;2;R$ 55,50
GIFT1270;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;140;10;43 x 7;2;R$ 20,50
GIFT0823;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;1400;100;43 x 7;2;R$ 173,50
GIFT0824;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;700;50;43 x 7;2;R$ 89,50
GIFT0825;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;420;30;43 x 7;2;R$ 55,50
GIFT0826;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;140;10;43 x 7;2;R$ 20,50
